LP_ID,LP_TITLE,DST_TITLE,POJ_TITLE,SCAT_TITLE,LMT_TITLE,LTE_TITLE,AT_TITLE,GDF_TITLE,LP_TRIAL_SEQUENCE,LP_TRIAL_HINTS,LP_START_CHECK_FORM,LP_START_CHECK_HINTS,LP_PASS_CRITERIA,LP_CLOSE_CRITERIA,LP_CLOSE_CRITERIA_PASS_COUNT,LP_VERIFICATION_PERIOD,LP_IOA_DEFINITION,LP_IOA_FREQUENCY,LP_MEASUREMENT_FREQUENCY,LP_MEASUREMENT_FREQUENCY_UNIT,LP_SPECIFIC_SOCIAL_AMPLIFICATIONS,LP_TEMPLATE,PLP_STATE,LPP_ID,min(SES_START_DATE),max(SES_START_DATE),diff,countofsession,sessioninweek,sessioninmonth
181,UKD/ E dopasowywanie DoKr notowania,Ośrodkowy BIPET,Dopasowywanie pojedynczych elementów,Dopasowywanie i sortowanie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,181,2018-09-27 05:12:37,2020-06-17 09:40:29,20,58,1,3
182,UKD/E Sortowanie DoKr,Ośrodkowy BIPET,Sortowanie identycznych elementów,Dopasowywanie i sortowanie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,182,2018-05-22 06:18:53,2020-06-15 09:50:58,24,55,1,2
187,Z/A Wykonywanie prezawodowych łańcuchów czynności DoKr,Ośrodkowy BIPET,Wykonywanie prezawodowych łańcuchów czynności,Umiejętności zawodowe,łańcuchy czynności - typ A,łańcuchach zachowań od końca,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-end,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,pending,187,2018-09-25 06:07:24,2020-02-13 08:03:36,16,45,1,3
196,SFS/C Trening czystości ,Ośrodkowy BIPET,Trening czystości ,Umiejętności samoobsługowe,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis strategii,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,day,1,1,preparing,196,2019-09-19 05:56:28,2020-11-17 13:07:53,13,117,2,9
208,UKI/B imitacja z przedmiotami Phi Wi,Ośrodkowy BIPET,Imitacja z przedmiotami,Imitacja,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,70,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,208,2018-04-17 06:25:03,2020-09-07 08:11:52,28,73,1,3
213,S/E  Znajomość nominałów pieniężnych AdMa,Ośrodkowy BIPET,Znajomość nominałów pieniężnych,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,1,90,agree-to-full-ratio,semester,1,week,1,0,pending,213,2018-05-07 09:51:35,2019-06-13 10:14:49,13,35,1,3
233,S/D Liczenie LauKre ,Ośrodkowy BIPET,liczenie,Umiejętności szkolne,pojedyncze zestawy - typ D,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-set,0,pretest,0,90,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,233,2018-05-24 06:25:22,2019-06-10 08:17:35,12,39,1,3
246,SFG/ A Gotowanie MaRy,Ośrodkowy BIPET,Gotowanie,Umiejętności gospodarcze,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,1,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,suspended,246,2018-04-27 06:32:30,2020-03-06 08:30:00,22,32,0,1
264,MKR/ E rozumienie stosunków przestrzennych ToLa ,Ośrodkowy BIPET,Rozumienie stosunków przestrzennych,Rozumienie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,closed,264,2018-04-19 08:19:42,2021-02-15 08:50:44,33,94,1,3
278,S/E Obsługa komputera  JoMi ,Ośrodkowy BIPET,Obsługa komputera,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,278,2018-04-25 07:36:15,2019-06-03 07:21:50,13,35,1,3
279,S/E  Znajomość nominałów pieniężnych JoMi,Ośrodkowy BIPET,Znajomość nominałów pieniężnych,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,279,2018-05-08 06:57:59,2019-06-11 06:04:13,13,39,1,3
280,UKD/B - dopasowywanie pojedynczych elementów Phi Wi,Ośrodkowy BIPET,Dopasowywanie pojedynczych elementów,Dopasowywanie i sortowanie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,pending,280,2018-04-16 06:29:17,2021-10-08 09:43:31,41,112,1,3
282,SFS/A - czynności samoobsługowe Phi Wi,Ośrodkowy BIPET,Realizacja higieny osobistej,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach zachowań od końca,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-end,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,suspended,282,2018-04-17 06:25:03,2019-04-29 10:51:23,12,32,1,3
308,SFS/A Realizacja higieny osobistej MaBo,Ośrodkowy BIPET,Realizacja higieny osobistej,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,day,0,0,pending,308,2018-04-25 06:15:03,2021-09-14 11:38:31,40,207,1,5
322,UKW/D Podążanie za znanymi poleceniami MiArw ,Ośrodkowy BIPET,Podążanie za znanymi poleceniami,Współpraca,pojedyncze zestawy - typ D,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-set,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,322,2018-04-27 06:49:59,2021-06-15 06:31:30,37,76,0,2
363,Z/A Prezawodowe łańcuchy czynności FiSze,Ośrodkowy BIPET,Wykonywanie prezawodowych łańcuchów czynności,Umiejętności zawodowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,closed,363,2018-04-16 06:38:04,2019-05-28 09:19:56,13,52,1,4
367,"MKR/ E Identyfikowanie kolorów, kształtów, elementów otoczenia MiGa",Ośrodkowy BIPET,"Rozumienie nazw rzeczowników, czasowników i przymiotników",Rozumienie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,367,2018-04-10 10:37:50,2019-06-11 06:39:03,14,44,1,3
402,FSN/C Korespondowanie JaHa,Ośrodkowy BIPET,Korespondowanie,Funkcjonowanie w naturalnym środowisku,ćwiczenia w krokach - typ C,w wyodrębnionych próbach ciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,90,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,closed,402,2018-05-09 06:29:05,2021-02-24 07:20:32,33,75,1,2
411,SFS/A - Realizacja higieny osobistej- GrzePo,Ośrodkowy BIPET,Realizacja higieny osobistej,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,pending,411,2018-04-20 07:15:28,2021-09-14 11:41:16,40,94,1,2
412,UKD/C - Sortowanie identycznych elementów - GrzePo,Ośrodkowy BIPET,Sortowanie identycznych elementów,Dopasowywanie i sortowanie,ćwiczenia w krokach - typ C,w wyodrębnionych próbach ciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,90,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,suspended,412,2018-05-11 06:28:04,2019-06-03 07:44:18,12,38,1,3
418,UKD/B Sortowanie przedmiotów SzyKon,Ośrodkowy BIPET,Sortowanie identycznych elementów,Dopasowywanie i sortowanie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,pending,418,2018-04-25 09:01:10,2019-05-30 06:32:07,13,20,0,2
433,S/E Operacje liczbowe w zakresie 1-5 MiGa,Ośrodkowy BIPET,liczenie,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,pending,433,2018-04-10 10:37:50,2021-06-08 11:56:47,37,109,1,3
438,S/E  Znajomość nominałów pieniężnych JaWó,Ośrodkowy BIPET,Znajomość nominałów pieniężnych,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,438,2018-04-23 06:55:08,2019-11-04 07:26:59,18,55,1,3
443,S/C Liczenie JaWó,Ośrodkowy BIPET,liczenie,Umiejętności szkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio-selected-interval,semester,1,week,1,0,closed,443,2018-05-07 06:33:44,2020-09-30 06:13:20,28,78,1,3
456,SFS/A Realizacja higieny osobistej MaWój,Ośrodkowy BIPET,Realizacja higieny osobistej,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,pending,456,2018-04-16 06:48:50,2021-10-05 07:14:09,41,106,1,3
457,SFS/A Ubieranie się MaWój,Ośrodkowy BIPET,Ubieranie się ,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,1,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,suspended,457,2018-05-11 06:46:29,2020-06-08 07:33:43,24,57,1,2
459,Z/B Wykonywanie powtarzalnej pracy JaWó,Ośrodkowy BIPET,Wykonywanie powtarzalnej pracy ,Umiejętności zawodowe,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,closed,459,2018-04-24 06:38:45,2021-03-22 06:16:30,34,101,1,3
461,S/C Posługiwanie się zegarem JaWó,Ośrodkowy BIPET,Posługiwanie się zegarem,Umiejętności szkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,461,2018-05-08 06:58:05,2021-01-25 07:06:45,32,96,1,3
472,MKR/E Identyfikowanie elementów otoczenia MiGa,Ośrodkowy BIPET,Identyfikowanie elementów otoczenia,Rozumienie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,472,2018-04-10 10:37:50,2021-05-11 06:43:59,37,98,1,3
480,S/B Obsługa komputera JaWó,Ośrodkowy BIPET,Obsługa komputera,Umiejętności szkolne,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,480,2018-05-08 06:58:05,2021-10-05 09:37:54,40,123,1,3
506,MKP/D Proszenie o nagrody za pomocą gestów systemu MAKATON MiArw,Ośrodkowy BIPET,Proszenie o nagrody,Proszenie,pojedyncze zestawy - typ D,w próbach incydentalnych,poprzez realizację zakom prośby,opis sposobów (syntetyczny) ,exercise-set,0,pretest,0,90,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,pending,506,2018-04-23 06:47:16,2021-06-15 06:31:30,37,78,0,2
509,UKD/B Sortowanie MaPa,Ośrodkowy BIPET,Sortowanie identycznych elementów,Dopasowywanie i sortowanie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,100,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,suspended,509,2018-05-22 06:26:53,2019-09-16 09:58:15,15,27,0,2
536,Z/A Wykonywanie prezawodowych łańcuchów czynności (długopisy) MaWój,Ośrodkowy BIPET,Wykonywanie prezawodowych łańcuchów czynności,Umiejętności zawodowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,suspended,536,2018-04-18 10:17:18,2020-01-21 07:48:22,21,57,1,3
541,PSZ/E odczytywanie godzin ToLa,Ośrodkowy BIPET,Posługiwanie się zegarem,Umiejętności szkolne,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,541,2018-01-16 13:21:08,2019-05-21 17:12:25,16,3,0,0
601,SFS/A CeDra (A) tonik,Ośrodkowy BIPET,Realizacja higieny osobistej,Umiejętności samoobsługowe,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,bezpośrednio,opis sposobów (syntetyczny) ,chain-full,1,pretest,1,100,in-a-row,3,90,agree-to-full-ratio,semester,1,week,0,0,pending,601,2018-04-09 10:32:53,2019-05-21 16:57:28,13,3,0,0
606,MK/C Proszenie o potrzebne przedmioty DoKre,Ośrodkowy BIPET,Proszenie o potrzebne przedmioty,Proszenie,ćwiczenia w krokach - typ C,w próbach incydentalnych,poprzez realizację zakom prośby,opis strategii,exercise-all,0,pretest,0,100,in-a-row,2,30,agree-to-full-ratio,semester,1,week,1,0,pending,606,2018-09-27 05:12:37,2020-06-17 09:40:29,20,52,1,3
607,MK/K Odpowiadanie na pytania DoKre,Ośrodkowy BIPET,Odpowiadanie na pytania z wykorzystaniem PECS,Konwersacje,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,punktem,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,1,90,agree-to-full-ratio,semester,1,week,1,0,pending,607,2018-09-27 05:12:37,2020-06-17 09:40:29,20,59,1,3
615,UKI/B imitacja motoryki dużej Philip W,Ośrodkowy BIPET,Imitacja motoryczna,Imitacja,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,615,2018-05-08 06:25:31,2020-03-02 07:28:05,21,68,1,3
616,Martyniak A. Obsługa komputera 2,Ośrodkowy BIPET,Obsługa komputera,Umiejętności szkolne,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,baseline,1,100,in-a-row,1,90,agree-to-full-ratio,semester,1,week,0,0,pending,616,2018-04-24 12:14:02,2019-06-13 10:14:49,13,43,1,3
621,SFG /A Prasowanie spodni MaRy ,Ośrodkowy BIPET,Realizacja prostych czynności domowych ,Umiejętności gospodarcze,łańcuchy czynności - typ A,łańcuchach przez całk. prezentację,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,chain-full,0,pretest,1,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,0,0,closed,621,2018-06-06 06:04:45,2020-02-21 07:51:44,20,48,1,2
633,UKD/ E Dopasowywanie pojedynczych elementów notowania MiGa,Ośrodkowy BIPET,Dopasowywanie pojedynczych elementów,Dopasowywanie i sortowanie,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,closed,633,2018-04-10 09:40:50,2019-04-25 06:44:54,12,40,1,3
640,UK/W  SK czekanie notowanie,Ośrodkowy BIPET,Czekanie,Współpraca,ćwiczenia w krokach - typ C,poprzez kontrakt,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,1,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,closed,640,2018-04-24 06:52:13,2019-10-02 05:47:27,17,57,1,3
642,MK/K  opowiadanie ToLa notowania ,Ośrodkowy BIPET,Opowiadanie,Konwersacje,zestawy w krokach - typ E ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,closed,642,2018-04-18 06:51:44,2020-02-25 07:52:43,22,79,1,4
644,UKW/C - Czekanie JASZCZ KOPIA,Ośrodkowy BIPET,Czekanie,Współpraca,ćwiczenia w krokach - typ C,poprzez kontrakt,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,1,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,644,2018-04-16 06:41:46,2021-10-05 07:27:02,41,87,0,2
646, UKD/B - dopasowywanie JASZCZ KOPIA,Ośrodkowy BIPET,Dopasowywanie pojedynczych elementów,Dopasowywanie i sortowanie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,suspended,646,2018-04-16 06:41:46,2020-06-16 07:07:57,26,73,1,3
647,UKI/B - imitacja werbalna samogłosek JASZCZ KOPIA,Ośrodkowy BIPET,Imitacja werbalna,Imitacja,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,quarter,1,week,1,0,suspended,647,2018-04-16 06:41:46,2019-10-07 07:30:02,17,70,1,4
649, UKI/B - imitacja przedmiotem JASZCZ KOPIA,Ośrodkowy BIPET,Imitacja z przedmiotami,Imitacja,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,649,2018-04-16 06:41:46,2019-12-03 08:29:07,19,77,1,4
652, P/C - Układanie puzzli JASZCZ KOPIA,Ośrodkowy BIPET,Układanie puzzli,Umiejętności przedszkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,80,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,suspended,652,2018-04-16 06:41:46,2019-10-08 06:30:04,17,52,1,3
653,MKR/B - Wykonywanie prostych poleceń JASZCZ KOPIA,Ośrodkowy BIPET,Wykonywanie prostych poleceń,Rozumienie,pojedyncze ćwiczenia - typ B ,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-some,0,pretest,0,80,in-a-row,3,90,agree-to-full-ratio,semester,1,week,1,0,suspended,653,2018-04-16 06:41:46,2020-12-17 08:00:07,32,127,1,4
656,MKP/C - różnicowanie nagród JASZCZ KOPIA,Ośrodkowy BIPET,Prosi z wykorzystaniem PECS ,Proszenie,ćwiczenia w krokach - typ C,trening incedentalny,poprzez realizację zakom prośby,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,3,90,agree-to-full-ratio,semester,1,day,1,0,pending,656,2018-04-17 06:14:35,2021-10-08 11:41:48,41,270,1,7
660,S/C pisanie imienia SKoz notowania,Ośrodkowy BIPET,Pisanie,Umiejętności szkolne,ćwiczenia w krokach - typ C,w wyodrębnionych próbach nieciągłych,zgodnie z ind systemem wzmocnień,opis sposobów (syntetyczny) ,exercise-all,0,pretest,0,100,in-a-row,2,90,agree-to-full-ratio,semester,1,week,1,0,pending,660,2018-04-27 06:45:29,2021-10-05 07:29:41,41,112,1,3
